Epoch,Current LR,Train CE Loss,Train Rec,Val CE Loss,Val Rec,New Best Val Loss,New Best Val Rec
1,0.009569,0.2029,0.9085,0.2062,0.8824,True,True
2,0.009107,0.1655,0.9231,0.2024,0.9017,True,True
3,0.008642,0.1419,0.9321,0.1812,0.8787,True,False
4,0.008204,0.1211,0.9403,0.1848,0.9178,False,True
5,0.007734,0.1037,0.9503,0.2124,0.9129,False,False
6,0.00726,0.0851,0.9613,0.2104,0.9274,False,True
7,0.006813,0.072,0.9665,0.2294,0.9053,False,False
8,0.006333,0.0651,0.9697,0.264,0.8866,False,False
9,0.005848,0.054,0.9748,0.2159,0.9004,False,False
10,0.005359,0.0463,0.9801,0.2316,0.9201,False,False
11,0.004896,0.0379,0.986,0.2654,0.9144,False,False
12,0.004396,0.032,0.9871,0.2765,0.9006,False,False
13,0.003891,0.0287,0.9875,0.2434,0.9129,False,False
14,0.00341,0.0204,0.9932,0.27,0.9154,False,False
15,0.002888,0.0227,0.9911,0.2915,0.9192,False,False
16,0.002356,0.0188,0.9934,0.2832,0.9246,False,False
17,0.001845,0.0189,0.992,0.2933,0.9138,False,False
18,0.001281,0.0154,0.9939,0.287,0.9179,False,False
19,0.000686,0.0124,0.9941,0.28,0.9246,False,False
20,0.0001,0.0127,0.9939,0.2852,0.9286,False,True
